unix timestamp;doserate (uSv/h);lat;lng;wgs84_alt (m.);speed (m/s);cps;cp_2s;horizontal accuracy (radius of 68% confidence [m]);marker type (2-circle, 1-marker);SE (1 σ)[%]
1752939428;0.04356;45.329978943;37.267513275;16.200000763;0.326333880;4.16472;5.50000;1.7000;2;11.5
1752939432;0.04115;45.330036163;37.267486572;15.899999619;0.877086639;3.93412;4.50000;2.0000;2;11.5
1752939434;0.04104;45.330066681;37.267501831;15.600000381;1.157610297;3.92405;3.00000;2.1000;2;11.5
1752939436;0.03886;45.330097198;37.267505646;15.199999809;1.446369410;3.71556;2.50000;2.1000;2;11.5
1752939438;0.03886;45.330131531;37.267509460;15.100000381;1.651228905;3.71556;4.50000;2.1000;2;11.5
1752939440;0.03857;45.330158234;37.267501831;15.199999809;1.793292165;3.68725;3.50000;2.1000;2;11.5
1752939442;0.03807;45.330181122;37.267501831;14.800000191;1.753143907;3.63965;5.00000;2.1000;2;11.5
1752939446;0.03611;45.330207825;37.267513275;13.600000381;1.374823093;3.45284;5.50000;1.9000;2;11.5
1752939450;0.03498;45.330242157;37.267509460;12.899999619;0.827158630;3.34400;4.50000;1.8000;2;11.5
1752939452;0.03397;45.330268860;37.267513275;12.600000381;0.806569695;3.24762;2.50000;2.0000;2;11.5
1752939454;0.03504;45.330307007;37.267513275;12.600000381;0.986207783;3.35017;5.00000;2.0000;2;11.5
1752939456;0.03611;45.330345154;37.267509460;13.199999809;1.178199172;3.45284;3.00000;2.1000;2;11.5
1752939458;0.03375;45.330375671;37.267513275;13.500000000;1.379970312;3.22667;1.50000;2.1000;2;11.5
1752939462;0.03255;45.330410004;37.267513275;15.699999809;1.372249484;3.11238;2.50000;2.2000;2;11.5
1752939464;0.03090;45.330432892;37.267498016;17.200000763;1.242024779;2.95391;2.00000;2.1000;2;11.5
1752939466;0.03015;45.330463409;37.267501831;17.799999237;1.187464118;2.88312;3.00000;2.1000;2;11.5
1752939468;0.03101;45.330486298;37.267501831;18.299999237;1.140109777;2.96522;5.50000;2.0000;2;11.5
1752939470;0.03190;45.330513000;37.267501831;19.100000381;1.255922198;3.05043;5.50000;2.0000;2;11.5
1752939472;0.03318;45.330532074;37.267528534;19.500000000;1.361955047;3.17238;5.00000;2.0000;2;11.5
1752939474;0.03297;45.330562592;37.267555237;19.700000763;1.380999684;3.15238;3.00000;2.0000;2;11.5
1752939476;0.03221;45.330589294;37.267566681;19.899999619;1.343939781;3.08000;4.50000;2.0000;2;11.5
1752939478;0.03110;45.330612183;37.267566681;19.299999237;1.259010553;2.97304;1.50000;2.0000;2;11.5
1752939480;0.03287;45.330642700;37.267604828;19.100000381;1.232759714;3.14286;3.00000;2.1000;2;11.5
1752939482;0.03192;45.330673218;37.267631531;19.100000381;1.233789206;3.05217;1.50000;2.2000;2;11.5
1752939484;0.03090;45.330699921;37.267627716;19.600000381;1.330042243;2.95391;3.00000;2.1000;2;11.5
1752939486;0.03159;45.330726624;37.267581940;19.000000000;1.373793602;3.02000;2.50000;2.0000;2;11.5
